37.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DB,FINEST;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,FINER;WORKFLOW,FINER
11:45:34.0 (544283)|USER_INFO|[EXTERNAL]|00528000004DSLv|luke.farbotko@qvmtest.com.devmerge|Australian Eastern Standard Time|GMT+10:00
11:45:34.0 (578341)|EXECUTION_STARTED
11:45:34.0 (584050)|CODE_UNIT_STARTED|[EXTERNAL]|01pp000000002Rj|PaymentBuilderBatch
11:45:34.0 (31206718)|HEAP_ALLOCATE|[72]|Bytes:3
11:45:34.0 (31280343)|HEAP_ALLOCATE|[77]|Bytes:152
11:45:34.0 (31296267)|HEAP_ALLOCATE|[342]|Bytes:408
11:45:34.0 (31312017)|HEAP_ALLOCATE|[355]|Bytes:408
11:45:34.0 (31326849)|HEAP_ALLOCATE|[467]|Bytes:48
11:45:34.0 (31356388)|HEAP_ALLOCATE|[139]|Bytes:6
11:45:34.0 (32765245)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:65903
11:45:34.0 (50152870)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
11:45:34.0 (50182133)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
11:45:34.0 (50188906)|STATEMENT_EXECUTE|[15]
11:45:34.0 (50201894)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
11:45:34.0 (50209011)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
11:45:34.0 (50212324)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
11:45:34.0 (50216933)|VARIABLE_SCOPE_BEGIN|[31]|this|Database.BatchableContextImpl|true|false
11:45:34.0 (50272991)|VARIABLE_ASSIGNMENT|[31]|this|{}|0x71535d9c
11:45:34.0 (50276743)|VARIABLE_SCOPE_BEGIN|[31]|jobId|Id|false|false
11:45:34.0 (50352644)|VARIABLE_ASSIGNMENT|[31]|jobId|"707p000000A3IuiAAF"
11:45:34.0 (50357222)|VARIABLE_SCOPE_BEGIN|[31]|childJobId|Id|false|false
11:45:34.0 (50361714)|VARIABLE_ASSIGNMENT|[31]|childJobId|null
11:45:34.0 (50637551)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:77
11:45:34.0 (50645800)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
11:45:34.0 (50648775)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:2
11:45:34.0 (50660177)|METHOD_ENTRY|[1]|01pp000000002Rj|PaymentBuilderBatch.PaymentBuilderBatch()
11:45:34.0 (50666002)|STATEMENT_EXECUTE|[1]
11:45:34.0 (50670798)|STATEMENT_EXECUTE|[1]
11:45:34.0 (50676140)|METHOD_EXIT|[1]|PaymentBuilderBatch
11:45:34.0 (50680600)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
11:45:34.0 (50682599)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
11:45:34.0 (50689106)|VARIABLE_SCOPE_BEGIN|[11]|this|PaymentBuilderBatch|true|false
11:45:34.0 (50765403)|VARIABLE_ASSIGNMENT|[11]|this|{"batchJob":"a01p0000002pYiaAAE","payments":"0x36c46013"}|0x6397bcf7
11:45:34.0 (50772711)|VARIABLE_SCOPE_BEGIN|[11]|BC|Database.BatchableContext|true|false
11:45:34.0 (50816181)|VARIABLE_ASSIGNMENT|[11]|BC|{"jobId":"707p000000A3IuiAAF"}|0x71535d9c
11:45:34.0 (50828662)|STATEMENT_EXECUTE|[12]
11:45:34.0 (50830449)|STATEMENT_EXECUTE|[13]
11:45:34.0 (52062534)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:816
11:45:34.0 (52294983)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
11:45:34.0 (52324475)|HEAP_ALLOCATE|[50]|Bytes:5
11:45:34.0 (52342858)|HEAP_ALLOCATE|[56]|Bytes:5
11:45:34.0 (52351229)|HEAP_ALLOCATE|[64]|Bytes:7
11:45:34.0 (52406397)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
11:45:34.0 (52450949)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
11:45:34.0 (52466741)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:24
11:45:34.0 (52483501)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
11:45:34.0 (52488273)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
11:45:34.0 (52503517)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
11:45:34.0 (52508597)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:24
11:45:34.0 (52520304)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
11:45:34.0 (52524132)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
11:45:34.0 (52537637)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
11:45:34.0 (52542224)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:24
11:45:34.0 (52553390)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
11:45:34.0 (52557180)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
11:45:34.0 (52571009)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
11:45:34.0 (52575631)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:24
11:45:34.0 (52586884)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
11:45:34.0 (52590507)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
11:45:34.0 (52603686)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
11:45:34.0 (52608165)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:24
11:45:34.0 (52619002)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
11:45:34.0 (52622512)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
11:45:34.0 (52635603)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
11:45:34.0 (52640042)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:24
11:45:34.0 (52650948)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
11:45:34.0 (52654490)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
11:45:34.0 (52667625)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
11:45:34.0 (52672083)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:24
11:45:34.0 (52683033)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
11:45:34.0 (52686707)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
