37.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DB,FINEST;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,FINER;WORKFLOW,FINER
11:45:32.0 (106673)|USER_INFO|[EXTERNAL]|00528000004DSLv|luke.farbotko@qvmtest.com.devmerge|Australian Eastern Standard Time|GMT+10:00
11:45:32.0 (148742)|EXECUTION_STARTED
11:45:32.0 (154294)|CODE_UNIT_STARTED|[EXTERNAL]|01pp000000002Ri|PaymentBuilder.generatePayments
11:45:32.0 (827529)|METHOD_ENTRY|[10]|01pp000000002Ri|PaymentBuilder.PaymentBuilder()
11:45:32.0 (1061450)|METHOD_EXIT|[10]|PaymentBuilder
11:45:32.0 (47151863)|SOQL_EXECUTE_BEGIN|[336]|Aggregations:0|SELECT id, Account__c, Customer_Reference__c, DocNumber__c, TotalAmount__c, Invoice_QuickBookId__c, Type__c FROM Transaction__c WHERE Batch_Jobs__c = :tmpVar1
11:45:32.0 (104409834)|SOQL_EXECUTE_END|[336]|Rows:259
11:45:32.0 (107583704)|CONSTRUCTOR_ENTRY|[345]|01pp000000003MF|<init>()
11:45:32.0 (107803085)|CONSTRUCTOR_EXIT|[345]|01pp000000003MF|<init>()
11:45:32.0 (107879919)|CONSTRUCTOR_ENTRY|[346]|01pp000000003MF|<init>()
11:45:32.0 (107959645)|CONSTRUCTOR_EXIT|[346]|01pp000000003MF|<init>()
11:45:32.0 (109129345)|CONSTRUCTOR_ENTRY|[353]|01pp000000003MF|<init>()
11:45:32.0 (109220392)|CONSTRUCTOR_EXIT|[353]|01pp000000003MF|<init>()
11:45:32.0 (109622147)|CONSTRUCTOR_ENTRY|[359]|01pp000000003MF|<init>()
11:45:32.0 (109702855)|CONSTRUCTOR_EXIT|[359]|01pp000000003MF|<init>()
11:45:32.0 (110547724)|CONSTRUCTOR_ENTRY|[345]|01pp000000003MF|<init>()
11:45:32.0 (110663858)|CONSTRUCTOR_EXIT|[345]|01pp000000003MF|<init>()
11:45:32.0 (110710262)|CONSTRUCTOR_ENTRY|[346]|01pp000000003MF|<init>()
11:45:32.0 (110747677)|CONSTRUCTOR_EXIT|[346]|01pp000000003MF|<init>()
11:45:32.0 (111025512)|CONSTRUCTOR_ENTRY|[353]|01pp000000003MF|<init>()
11:45:32.0 (111097588)|CONSTRUCTOR_EXIT|[353]|01pp000000003MF|<init>()
11:45:32.0 (111303021)|CONSTRUCTOR_ENTRY|[359]|01pp000000003MF|<init>()
11:45:32.0 (111363353)|CONSTRUCTOR_EXIT|[359]|01pp000000003MF|<init>()
11:45:32.0 (111954208)|CONSTRUCTOR_ENTRY|[345]|01pp000000003MF|<init>()
11:45:32.0 (112084282)|CONSTRUCTOR_EXIT|[345]|01pp000000003MF|<init>()
11:45:32.0 (112160763)|CONSTRUCTOR_ENTRY|[346]|01pp000000003MF|<init>()
11:45:32.0 (112204006)|CONSTRUCTOR_EXIT|[346]|01pp000000003MF|<init>()
11:45:32.0 (112476061)|CONSTRUCTOR_ENTRY|[353]|01pp000000003MF|<init>()
